bus,00passenger,1passenger,2passenger,3passenger,4passenger,5passenger,6passenger,7passenger,8passenger,9passenger,10passenger,11passenger,12passenger,13passenger,14passenger,15passenger,16passenger,17passenger,18passenger,19passenger,20passenger,21passenger,22passenger,23passenger,passenger
new343,1597,178,1,0,743,3578,8323,17699,22678,15206,10171,9330,10462,10989,12371,14906,17701,19894,22133,15817,11442,12018,13523,6143,256404
301,0,0,0,0,2798,6531,7967,19110,25317,19117,14354,14283,14913,15953,15386,16525,18059,19469,23042,16568,12917,12794,12243,1893,289239
302,167,0,0,0,253,1556,2709,6634,9597,6152,3701,3815,3809,4088,3767,4531,5567,7051,9798,5831,4132,4155,4679,2405,94397
303,8,0,0,0,379,4086,5852,14965,22274,12882,8657,7658,7372,7506,7587,9036,12247,15360,19512,12336,11482,10774,10352,2921,203246
333,341,0,0,0,866,3018,5148,10833,13292,9623,6881,6176,7401,8056,8349,10107,11174,12102,11279,7999,5653,7283,9419,3098,158098
343,0,0,0,0,33,241,766,2272,2664,1407,771,685,823,803,780,884,947,992,1060,738,434,506,483,171,17460
362,728,0,0,0,911,2781,4893,13863,15557,9903,7231,7533,8971,9492,9544,10129,11420,12394,13149,7703,5814,6667,7554,4067,170304
402,1587,76,0,0,1114,2383,5680,14739,17003,14148,11152,11366,12473,12768,12881,13547,15516,17266,20572,13844,9253,8756,9205,2912,228241
452,1665,12,0,0,49,1314,2366,5694,6932,5314,4742,5190,6107,6327,6566,7834,8390,10024,13053,8165,5903,6548,7153,2912,122260
