busNum,AllPassengers,AllResidents2,AllResidents,overlap_cnt,Trans_rat,AllPassengers/dist,term_min
700,281378,"272,174","1,088,696",43,"506,009",4541.285,11
701,214794,"272,174","1,088,696",50,"637,444",5593.594,11
704,273288,"272,174","1,088,696",43,"570,814",5032.928,12
705,168507,"272,174","1,088,696",47,"567,325",4223.233,18
707,174480,"272,174","1,088,696",43,"453,474",2782.775,14
708,192957,"272,174","1,088,696",34,"427,602",5675.206,12
710,242293,"321,086","1,605,429",48,"1,939,076",4985.453,9
720,644450,"326,890","1,307,558",49,"1,417,693",13227.63,9
721,540257,"296,036","1,184,142",48,"1,187,562",12477.07,8
740,378191,"397,436","2,384,614",36,"308,857",7788.118,12
741,466093,"328,096","2,296,673",52,"1,478,600",7083.48,10
742,50517,"333,129","1,998,773",61,"1,261,041",1068.013,8
752,512770,"307,906","2,155,340",43,"1,045,961",10015.04,9
753,376717,"395,582","1,977,912",41,"398,921",7656.85,12
761,348396,"394,927","1,579,707",34,"254,842",8933.231,13
771,118156,"428,912","857,823",14,"44,692",2229.358,22
773,224846,"479,607","479,607",13,"176,812",2676.738,17
774,192575,"479,607","479,607",10,"268,611",2595.35,18
702A,459679,"192,471","769,882",44,"515,147",15002.58,6
702B,226256,"192,471","769,882",44,"515,017",7178.173,11
750A,238224,"326,574","2,612,593",51,"1,178,282",5076.156,10
750B,215682,"326,574","2,612,593",50,"1,007,036",4901.864,6
