busNum,00시승차총승객수,1시승차총승객수,2시승차총승객수,3시승차총승객수,4시승차총승객수,5시승차총승객수,6시승차총승객수,7시승차총승객수,8시승차총승객수,9시승차총승객수,10시승차총승객수,11시승차총승객수,12시승차총승객수,13시승차총승객수,14시승차총승객수,15시승차총승객수,16시승차총승객수,17시승차총승객수,18시승차총승객수,19시승차총승객수,20시승차총승객수,21시승차총승객수,22시승차총승객수,23시승차총승객수,AllPassengers,지나는 지역구 거주민 평균 (반올림),지나는 지역구 거주민 합,노선별 겹치는 노선 수,환승 비율 총 승객수,총승객수/거리,배차간격
171,1355,9,0,0,6340,7500,11022,26382,33226,22027,17062,17394,19303,20391,21385,24050,29007,31788,33411,21985,17304,18954,18898,5856,404649,"286,320","1,431,600",53,"1,142,946",8918.867,8
172,1442,44,0,0,6991,5699,11246,22321,25806,18133,14278,15297,17932,18149,18508,21636,24540,26682,27752,20475,16501,17241,17066,4680,352419,"325,638","1,953,825",59,"1,253,525",7498.277,10
173,1972,102,0,0,5158,6039,8496,18191,23114,17019,13898,14341,15362,15766,15827,17422,19070,20500,22597,16571,11509,12333,12706,5334,293327,"312,347","1,249,387",50,"417,644",6789.977,11
201,4221,1939,140,0,3086,4600,7769,14169,19940,12497,11607,12258,12663,14321,15051,16882,17693,19882,19699,13966,10148,10401,10236,5675,258843,"294,362","883,085",54,"1,119,953",5006.634,16
202,903,0,0,0,4392,11556,19835,44582,50601,33358,28610,29130,32213,33897,33147,35094,38598,40801,44144,34045,25627,24886,22745,7002,595166,"351,328","1,405,310",51,"774,523",11208.4,8
240,1960,10,0,0,4884,6337,8377,14901,20685,16404,11786,12459,13973,15463,16605,17496,18535,20233,24372,20880,16223,14706,14716,5538,296543,"429,410","1,717,639",25,"162,489",7094.33,11
241,2500,241,0,0,2230,7113,11670,30343,35599,22805,17242,17095,19026,20695,20581,23367,27298,29583,34995,25859,18139,19009,21079,8124,414593,"343,247","1,716,237",39,"607,213",8129.275,10
242,1479,26,0,0,3482,5464,7770,16515,21164,13980,8598,8348,9184,9936,10895,12643,14094,15400,20494,15655,11503,11306,12526,5172,235634,"430,845","1,292,536",22,"88,045",5013.489,14
260,1607,21,0,0,10381,9888,14119,28511,37031,23694,21608,24066,26375,27248,27058,28621,30749,34383,39198,25108,18357,17358,15422,5149,465952,"305,898","1,529,491",51,"1,396,174",8774.991,12
261,2952,102,0,0,6903,8453,15830,41091,50645,30833,25594,26786,26958,28819,29796,31000,33716,37318,43484,32806,23028,21280,20288,7244,544926,"315,396","1,576,979",59,"1,001,361",10340.15,8
262,2127,51,0,0,5793,7551,13525,38017,45089,30744,27469,29691,32933,35624,37404,40576,44769,45754,48370,35639,25546,24838,21058,5988,598556,"305,898","1,529,491",65,"1,226,090",10823.8,9
270,2099,12,0,0,4883,8673,11943,27492,34666,22520,19779,21780,24023,25213,25278,26885,29211,32267,37411,23118,15519,15711,15035,6412,429930,"316,023","1,580,115",55,"1,613,883",8446.562,10
271,1001,45,0,0,762,1639,2166,5201,7576,5492,4902,5202,5642,6116,6535,7048,7449,7858,8565,6121,4434,4499,4580,1588,104421,"320,595","1,602,974",56,"1,424,616",1970.579,7
272,1748,3,0,0,5539,13715,25074,49686,63908,43664,36230,35689,40519,43453,44559,49061,54121,59125,62141,44319,33147,34783,31766,8773,781023,"289,447","1,736,682",61,"1,149,867",16796.19,6
273,1771,35,0,0,3545,5801,11308,31234,43835,26367,22075,24215,28411,30496,31255,35793,39850,44569,48712,32864,25888,29425,28280,7305,553034,"283,574","1,417,868",59,"1,115,809",12568.95,8
301,1308,1,0,0,2798,8892,13808,33695,49527,35577,25636,24951,27512,29659,29063,32110,36651,39186,46792,33361,26799,28078,27757,7145,560306,"359,070","1,795,349",47,"485,883",11636.68,8
302,2720,997,2,0,2555,4459,8898,24024,35954,21720,15018,15025,16243,16761,16550,18869,22000,28679,32543,21119,15488,15756,16793,7503,359676,"440,576","1,321,727",17,"223,539",6485.323,15
303,3999,578,0,0,6130,12431,21987,50356,74895,49271,35006,32736,33775,34188,32619,37219,47120,58535,68679,44017,35040,34621,32510,11644,757356,"458,625","1,375,876",18,"312,655",13873.53,8
320,1392,8,0,0,2952,9349,14685,27292,32474,22071,16088,16687,18400,19394,19916,23212,27707,28628,31302,23012,17487,17145,16433,6068,391702,"473,371","1,420,113",20,"193,290",9916.506,9
